model_id,conflict_type_idx,sample_id,stage,prompt_order,last_prompt_constraint,pair_label,pair_label_name,behavior_label,behavior_label_name,position_t,signed_margin,offaxis_ratio,log_offaxis_ratio,offaxis_fraction,midpoint_distance_ratio,log_midpoint_distance_ratio,endpoint_relative_hidden,oriented_position,oriented_margin
Qwen/Qwen3.5-4B,1,1,early_00_09,org_new,new,2,org,1,direct_no_ack,-0.007266461122541379,-1.0145329222450827,0.9699094977847407,0.6730455604159474,0.8723585658343331,1.103981738465134,0.740823723227465,0.042294781403241194,1.0072664611225413,1.0145329222450827
Qwen/Qwen3.5-4B,1,1,late_22_31,org_new,new,2,org,1,direct_no_ack,0.43180712347223127,-0.1363857530555374,1.466701285073182,0.9021142635907333,0.9681240478611196,1.5139970693321456,0.9214611089931937,0.20790952315615135,0.5681928765277687,0.13638575305553746
Qwen/Qwen3.5-4B,1,1,middle_10_21,org_new,new,2,org,1,direct_no_ack,0.10031736843114092,-0.7993652631377182,0.9114468963431136,0.6369645865694639,0.9014998406295103,1.00143928067789,0.6839151105777316,0.13847353178640992,0.899682631568859,0.7993652631377182
Qwen/Qwen3.5-4B,1,2,early_00_09,org_new,new,2,org,1,direct_no_ack,0.0608359758696306,-0.8783280482607388,0.7170598362760094,0.5389609089502863,0.846506954937025,0.8450101108798711,0.6113773901899078,0.07003769544321979,0.9391640241303694,0.8783280482607388
Qwen/Qwen3.5-4B,1,2,late_22_31,org_new,new,2,org,1,direct_no_ack,-0.0008908189814056406,-1.0017816379628113,0.6697379970211715,0.5117780020239008,0.7991033652648297,0.8368280584108305,0.6072969370466084,0.21510053158253406,1.0008908189814056,1.0017816379628113
Qwen/Qwen3.5-4B,1,2,middle_10_21,org_new,new,2,org,1,direct_no_ack,0.1389547564909016,-0.7220904870181967,0.6646093879912516,0.5087020549599063,0.8759888439321974,0.7611260408502011,0.5647213792094908,0.1723942108061407,0.8610452435090984,0.7220904870181969
Qwen/Qwen3.5-4B,1,3,early_00_09,org_new,new,1,new,1,direct_no_ack,0.29716076563998334,-0.40567846872003327,0.6115978461956204,0.4770754270675514,0.938645762145943,0.6554699901547367,0.5034177314674573,0.062056103727144686,0.29716076563998334,-0.40567846872003327
Qwen/Qwen3.5-4B,1,3,late_22_31,org_new,new,1,new,1,direct_no_ack,0.22746251219396116,-0.5450749756120776,1.1340649353241417,0.7543418485680459,0.9725239359330375,1.1690640919561646,0.7697301979640407,0.0938665443154654,0.22746251219396116,-0.5450749756120776
Qwen/Qwen3.5-4B,1,3,middle_10_21,org_new,new,1,new,1,direct_no_ack,0.42327237268153134,-0.15345525463693724,0.7552929002032404,0.5598835430944183,0.9936277701641115,0.7607555758415182,0.5628191376096381,0.11954718199337167,0.42327237268153134,-0.15345525463693724
Qwen/Qwen3.5-4B,1,4,early_00_09,org_new,new,1,new,1,direct_no_ack,0.07688715836398433,-0.8462256832720314,1.37352933352865,0.8637403482515301,0.9532611931194703,1.441038303594682,0.8918533265783297,0.04287678915226769,0.07688715836398433,-0.8462256832720314
